Date,Price
Jan-2004,30.02
Feb-2004,30.24
Mar-2004,30.21
Apr-2004,31.67
May-2004,31.95
Jun-2004,33.66
Jul-2004,34.96
Aug-2004,39.04
Sep-2004,37.24
Oct-2004,43.61
Nov-2004,40.05
Dec-2004,36.35
Jan-2005,37.49
Feb-2005,39.27
Mar-2005,45.12
Apr-2005,46.38
May-2005,43.78
Jun-2005,47.19
Jul-2005,51.85
Aug-2005,55.06
Sep-2005,58.82
Oct-2005,55.22
Nov-2005,52.31
Dec-2005,51.63
Jan-2006,54.86
Feb-2006,54.25
Mar-2006,54.72
Apr-2006,56.43
May-2006,61.72
Jun-2006,62.2
Jul-2006,64.23
Aug-2006,64.72
Sep-2006,57.99
Oct-2006,51.19
Nov-2006,50.43
Dec-2006,53.01
Jan-2007,47.64
Feb-2007,49.87
Mar-2007,52.74
Apr-2007,57.05
May-2007,59.98
Jun-2007,61.01
Jul-2007,66.59
Aug-2007,64.48
Sep-2007,70.35
Oct-2007,75.01
Nov-2007,78.31
Dec-2007,82.6
Jan-2008,83.78
Feb-2008,87.3
Mar-2008,92.87
Apr-2008,100.54
May-2008,109.85
Jun-2008,121.24
Jul-2008,125.75
Aug-2008,120.38
Sep-2008,100.15
Oct-2008,84.49
Nov-2008,65.95
Dec-2008,42.98
Jan-2009,37.21
Feb-2009,36.06
Mar-2009,43.37
Apr-2009,44.92
May-2009,50.22
Jun-2009,60.39
Jul-2009,61.58
Aug-2009,64.71
Sep-2009,66.5
Oct-2009,68.3
Nov-2009,70.78
Dec-2009,72.61
Jan-2010,73.03
Feb-2010,74.42
Mar-2010,73.98
Apr-2010,77.28
May-2010,75.98
Jun-2010,73.57
Jul-2010,72.66
Aug-2010,72.56
Sep-2010,73.27
Oct-2010,76.3
Nov-2010,79.72
Dec-2010,83.71
Jan-2011,87.58
Feb-2011,90.37
Mar-2011,104.39
Apr-2011,113.39
May-2011,110.5
Jun-2011,105.13
Jul-2011,108.62
Aug-2011,105.79
Sep-2011,106.74
Oct-2011,110.41
Nov-2011,110.84
Dec-2011,110.73
Jan-2012,105.42
Feb-2012,108.62
Mar-2012,115.55
Apr-2012,117.7
May-2012,111.33
Jun-2012,99.04
Jul-2012,93.49
Aug-2012,95.34
Sep-2012,105.08
Oct-2012,102.99
Nov-2012,101.39
Dec-2012,101.87
Jan-2013,105.7
Feb-2013,106.83
Mar-2013,108.79
Apr-2013,106.43
May-2013,101.23
Jun-2013,99.39
Jul-2013,100.06
Aug-2013,104.09
Sep-2013,104.22
Oct-2013,100.19
Nov-2013,92.49
Dec-2013,92.48
Jan-2014,91.99
Feb-2014,101.11
Mar-2014,100.6
Apr-2014,100.08
May-2014,97.26
Jun-2014,99.79
Jul-2014,99.86
Aug-2014,95.54
Sep-2014,93.28
Oct-2014,84.57
Nov-2014,85.47
Dec-2014,65.79
Jan-2015,48.22
Feb-2015,44.9
Mar-2015,45.35
Apr-2015,55.9
May-2015,56.27
Jun-2015,61.07
Jul-2015,51.65
Aug-2015,43.76
Sep-2015,40.47
Oct-2015,41.32
Nov-2015,37.03
Dec-2015,32.9
Jan-2016,27.73
Feb-2016,23.93
Mar-2016,28.54
Apr-2016,32.97
May-2016,37.12
Jun-2016,41.6
Jul-2016,40.2
Aug-2016,39.14
Sep-2016,38.7
Oct-2016,41.84
Nov-2016,41.27
Dec-2016,43.41
Jan-2017,45.84
Feb-2017,47.07
Mar-2017,45.86
Apr-2017,45.8
May-2017,45
Jun-2017,42.38
Jul-2017,42.21
Aug-2017,43.13
Sep-2017,46.32
Oct-2017,48.72
Nov-2017,54.02
Dec-2017,56.49
Jan-2018,60.92
Feb-2018,61.01
Mar-2018,59.01
Apr-2018,61.13
May-2018,66.02
Jun-2018,66.96
Jul-2018,69.89
Aug-2018,65.96
Sep-2018,68.04
Oct-2018,71.58
Nov-2018,65.37
Dec-2018,55.95
Jan-2019,52.2
Feb-2019,55.07
Mar-2019,60.36
Apr-2019,65.55
May-2019,64.07
Jun-2019,60.54
Jul-2019,59.13
Aug-2019,57.42
Sep-2019,56.86
Oct-2019,54.87
Nov-2019,53.71
Dec-2019,57.48
Jan-2020,55.49
Feb-2020,50.53
